,Latent Factor 1,Latent Factor 2,Latent Factor 3,Latent Factor 4,Latent Factor 5,Latent Factor 6,Latent Factor 7
0,7.7162576,3.0375185,2.4753413,6.977447,8.339431,3.1742857,3.9486835
1,8.364553,4.4294777,3.8484275,5.7460237,5.8076057,3.5063777,2.3805335
2,6.178861,5.8674192,2.5173447,4.55947,4.80531,2.8000274,3.164446
3,8.08952,4.2285585,3.4784071,5.7908745,5.934993,3.2744336,2.5994103
4,7.317034,3.6110992,1.7366956,6.283123,6.358104,2.2562644,2.7897878
5,7.1578236,3.2982516,1.8675271,6.985692,8.279967,2.5401752,4.008605
6,2.4401596,6.9460344,1.0183524,3.4821765,3.3811948,2.629788,4.2120576
7,7.670372,2.9497235,1.3674625,6.780293,6.631716,2.34793,3.2823064
8,2.6355858,6.769651,1.2305244,3.4156358,3.4007425,2.5621188,4.4532576
9,8.378104,5.1571136,4.221438,5.2048993,5.258201,3.7022412,2.2307684
10,7.8387895,2.17768,0.95317066,7.1941347,7.2307186,2.4122376,3.8765562
11,7.7491093,6.1445355,4.0346847,4.5331874,4.688735,3.372241,2.3099563
12,8.27922,4.9554806,3.7886808,5.540233,5.4329963,3.2886224,2.2230132
13,8.188914,4.0690002,3.4293234,5.9956384,6.0925684,3.2382913,2.5214589
14,6.7803955,3.4301643,0.84754366,6.050609,6.323422,1.085983,1.5059538
15,7.8562894,5.5635567,3.509818,5.1538715,5.0305305,2.9414017,2.317356
16,7.7227483,3.186014,2.400685,6.8234215,7.742805,2.9772687,3.593602
17,1.6920455,6.3007884,1.017973,2.1672585,4.490908,2.7930083,5.3164406
18,7.4265904,2.862317,1.7323953,7.114357,8.409958,2.798301,4.194333
19,2.4759302,6.817356,1.1641315,3.4608936,3.4202533,2.674198,4.3044977
20,2.8631,6.6216125,1.3822976,3.3028834,3.4893773,2.5003881,4.637324
21,6.9382567,3.2841809,0.31033885,5.8150225,6.1248746,0.5615988,0.99286175
22,7.9489274,2.3161755,0.9668446,7.1914015,6.92336,2.409959,3.6588404
23,2.7705343,6.6673985,1.42771,3.2374554,3.5448759,2.4586685,4.699385
24,2.6281333,6.7342505,1.3036412,3.3172603,3.4787455,2.5876865,4.5497336
25,7.884726,2.3385577,1.0688926,7.194604,7.057829,2.4633393,3.7527
26,2.4678357,6.8901463,1.148346,3.438919,3.449759,2.7153172,4.352736
27,2.4478498,7.0892406,0.8754915,3.5118911,3.3836544,2.5356321,4.0839868
28,8.384137,4.8871236,4.0396624,5.4477296,5.458752,3.5476935,2.2503104
29,7.9410944,4.0673065,3.028598,5.9973607,6.106277,2.9265106,2.5336878
30,7.7662067,3.8871672,2.5796962,6.237613,6.317802,2.6154702,2.5375223
31,7.316215,3.1228411,1.8281641,7.052562,8.25543,2.713073,4.07814
32,8.435123,5.169059,4.2976933,5.156632,5.2319164,3.7726555,2.1746845
33,7.345116,2.979189,1.994846,7.176948,8.754012,2.8596826,4.313089
34,6.8695774,5.9740434,3.2971194,4.5406957,4.7570662,2.972466,2.842927
35,7.798167,5.276119,3.5788734,5.180904,5.2138333,3.1306388,2.5134342
36,7.910504,4.1359305,2.8944647,6.0786366,6.0563893,2.7359893,2.4120824
37,7.8265057,2.5450075,1.0799402,6.968221,6.7109385,2.3169634,3.512426
38,7.600658,2.9902127,2.1713567,7.0508294,8.284205,2.9777892,3.9935076
39,1.7719015,6.4712653,1.1667298,2.1671755,4.4410195,2.633614,5.353836
40,8.277828,5.331649,4.209135,5.0998683,5.136705,3.614225,2.2201183
41,2.5812192,6.6879363,1.2721965,3.2836251,3.4731631,2.523183,4.5634847
42,7.378111,5.3119783,3.0839126,5.1720896,5.207081,2.7535818,2.6429079
43,8.35782,5.1414557,4.2074704,5.2330904,5.284876,3.6716638,2.2168665
44,7.5809073,2.528013,1.4187473,7.1965613,8.041071,2.6770136,4.1624494
45,7.629644,4.1574483,2.5192888,6.0421247,6.0483327,2.4931076,2.4274018
46,7.801394,2.7449248,1.3059326,6.9874277,6.8223906,2.4509807,3.4810593
47,5.604537,6.2637672,2.6541376,4.003355,4.4621906,2.7929099,3.4496946
