,Latent Factor 1,Latent Factor 2
0,9.254904,3.6032302
1,8.920321,6.9918303
2,5.3320594,8.134825
3,8.522445,6.863296
4,7.18095,4.820462
5,9.77678,2.179019
6,-0.8201397,9.023312
7,7.1614704,3.9244013
8,-0.43679455,9.185023
9,8.925591,8.584717
10,7.563876,2.707138
11,7.737294,9.757543
12,8.451367,7.8647323
13,8.668403,6.5055814
14,4.96215,4.8254046
15,7.6731277,8.502518
16,8.773673,4.0137563
17,-1.5130823,11.572948
18,9.49003,2.6759293
19,-0.7076467,9.179469
20,-0.08276708,9.250632
21,3.9767818,4.171821
22,7.4151945,2.9585822
23,-0.020715905,9.369273
24,-0.53236264,9.465473
25,7.600284,2.9575756
26,-0.9104617,8.983586
27,-0.9876894,8.776494
28,8.851425,7.954611
29,8.233335,6.42034
30,7.8129864,5.8980236
31,9.782117,2.5197158
32,8.914823,8.44307
33,9.75033,2.9183967
34,6.6378126,8.911206
35,7.771883,8.286891
36,7.8534703,6.3530755
37,7.063992,3.4172535
38,9.206115,3.4270828
39,-1.415978,11.552657
40,8.81573,8.604933
41,-0.42593816,9.480898
42,7.0710673,8.029584
43,8.753027,8.420052
44,8.52344,2.6215076
45,7.2147493,6.2448792
46,7.4132934,3.4478157
47,4.6800785,8.751329
48,3.7861812,4.445207
49,6.6364217,5.293359
50,8.343167,2.7071116
51,7.6479034,3.3696308
52,8.523455,8.805831
53,8.916993,7.2794647
54,7.4905667,7.2334065
55,5.0859485,4.769106
56,7.149023,8.630637
57,7.073684,5.201361
58,7.698577,6.3648906
59,8.19418,8.055679
60,9.299671,2.9740136
61,7.2771263,6.2421985
62,8.968099,3.677072
63,9.95977,2.2660835
64,7.595324,8.338582
65,7.7755566,5.903394
66,8.064529,8.029094
67,-1.5926092,11.639161
68,-0.17355292,9.301098
69,-1.5291173,11.310327
70,7.028696,4.689888
71,7.6329784,3.1280348
72,6.843124,5.0320306
73,5.1467547,8.42826
74,-1.4169079,11.709271
75,9.593055,3.0629137
76,7.9430094,9.297926
77,9.391637,3.0929184
78,7.655682,3.135866
79,9.072324,7.2157526
80,8.793353,6.4075084
81,-1.3356135,11.471727
82,4.936154,4.799166
83,7.616714,5.474546
84,-0.9537565,8.886481
85,-0.88157964,8.842984
86,7.1159015,3.6138413
87,7.702228,9.574817
88,-0.16314694,9.32813
89,7.07193,3.622217
90,7.7277937,2.8537474
91,7.028625,7.462013
92,7.420735,5.203064
93,5.2696347,8.793808
94,9.7455845,2.1148863
95,7.342886,3.029853
96,0.24221356,9.577157
97,7.7891498,7.732047
98,7.553765,9.558128
99,7.765418,2.8163853
100,7.446163,8.52068
101,-1.5117775,11.191693
102,7.8027844,9.463478
103,8.069846,6.491469
104,7.220517,8.313124
105,7.7241416,8.155542
106,7.7250624,3.6091468
107,7.0389166,7.774042
108,7.2484503,4.501866
109,8.540663,7.4075284
110,6.6184964,6.2668815
111,7.145811,3.4193583
112,7.944211,9.535838
113,4.5719757,4.5519905
114,7.298123,8.585438
115,9.469271,3.234071
116,9.86848,2.1346667
117,4.051746,4.221992
118,5.354551,8.920155
119,8.998636,7.9117413
120,5.374865,8.293944
121,-1.4754679,11.631187
122,8.575161,8.673514
123,4.9577417,8.456991
124,5.246734,8.811139
125,9.63523,2.8966022
126,7.859652,6.8983502
127,9.832043,2.4893262
128,7.835064,6.552574
129,8.369463,6.312181
130,7.829894,6.141692
131,6.5236654,6.708481
132,7.3295035,6.764187
133,8.03292,8.66762
134,7.6194954,9.339165
135,8.35675,3.5579371
136,8.392664,6.5694776
137,0.1937413,9.69497
138,8.678623,3.6226037
139,4.442072,4.5207677
140,4.9948854,8.85366
141,7.14965,8.165391
142,7.5577755,7.812505
143,9.859783,2.756906
144,6.9405003,6.6400795
145,4.0773196,4.200775
146,8.754312,7.3460355
147,5.0916243,8.724765
148,3.9533045,4.383846
149,3.896209,4.435346
150,-0.77042884,9.109295
151,9.680039,2.6971133
152,8.115325,9.386916
153,-0.57784146,9.131628
154,9.53788,2.7220294
155,7.0928297,4.319174
156,-1.6254939,11.4347515
157,5.582931,8.835062
158,7.290346,3.2133784
159,6.389028,8.81871
160,0.21892242,9.687835
161,5.4262743,8.639918
162,4.161504,4.292991
163,7.8947124,9.342999
164,8.961834,7.3199124
165,-1.4268101,11.185239
166,9.5837755,3.0526657
167,8.958497,7.367266
168,-1.6235322,11.493719
169,8.77561,8.13059
170,-0.848658,8.919553
171,9.291852,3.3088968
172,7.7093334,5.0108323
173,10.011912,2.3081148
174,-1.3075151,11.0962305
175,7.0319386,6.6040187
176,5.3909283,7.98583
177,4.591597,4.536906
178,3.7966623,4.412284
179,3.7731392,4.131101
180,4.8517213,4.759016
